No.,Time,Source,Destination,Protocol,Length,Info,Len
32,0.150577,172.28.0.20,172.28.0.10,TCP,1514,[TCP Out-Of-Order] 55206  >  5000 [ACK] Seq=10242 Ack=1 Win=64512 Len=1448 TSval=1939598210 TSecr=3899494897,1448
33,0.15062,172.28.0.10,172.28.0.20,TCP,66,5000  >  55206 [ACK] Seq=1 Ack=33410 Win=79872 Len=0 TSval=3899494947 TSecr=1939598210,0
34,0.150625,172.28.0.20,172.28.0.10,RSL,2962,ERROR REPORT ,0
35,0.150631,172.28.0.10,172.28.0.20,TCP,66,5000  >  55206 [ACK] Seq=1 Ack=36306 Win=77824 Len=0 TSval=3899494947 TSecr=1939598210,0
36,0.150633,172.28.0.20,172.28.0.10,TCP,1514,55206  >  5000 [ACK] Seq=36306 Ack=1 Win=64512 Len=1448 TSval=1939598210 TSecr=3899494897,1448
37,0.150637,172.28.0.10,172.28.0.20,TCP,66,5000  >  55206 [ACK] Seq=1 Ack=37754 Win=76800 Len=0 TSval=3899494947 TSecr=1939598210,0
38,0.150639,172.28.0.20,172.28.0.10,RSL,2962,DELETE INDication (CCCH) (SM) ,0
39,0.150644,172.28.0.10,172.28.0.20,TCP,66,5000  >  55206 [ACK] Seq=1 Ack=40650 Win=74752 Len=0 TSval=3899494947 TSecr=1939598210,0
40,0.150646,172.28.0.20,172.28.0.10,TCP,2962,"[TCP Previous segment not captured] 55206  >  5000 [PSH, ACK] Seq=43546 Ack=1 Win=64512 Len=2896 TSval=1939598210 TSecr=3899494897",2896
41,0.15065,172.28.0.10,172.28.0.20,TCP,78,[TCP Dup ACK 39#1] 5000  >  55206 [ACK] Seq=1 Ack=40650 Win=74752 Len=0 TSval=3899494947 TSecr=1939598210 SLE=43546 SRE=46442,0
42,0.16661,172.28.0.20,172.28.0.10,RSL,1514,[Malformed Packet],0
43,0.166637,172.28.0.10,172.28.0.20,TCP,78,[TCP Window Update] 5000  >  55206 [ACK] Seq=1 Ack=40650 Win=94208 Len=0 TSval=3899494963 TSecr=1939598210 SLE=43546 SRE=47890,0
44,0.200732,172.28.0.20,172.28.0.10,TCP,1514,55206  >  5000 [ACK] Seq=47890 Ack=1 Win=64512 Len=1448 TSval=1939598260 TSecr=3899494947,1448
45,0.200767,172.28.0.10,172.28.0.20,TCP,78,[TCP Dup ACK 39#2] 5000  >  55206 [ACK] Seq=1 Ack=40650 Win=94208 Len=0 TSval=3899494997 TSecr=1939598210 SLE=43546 SRE=49338,0
46,0.20077,172.28.0.20,172.28.0.10,TCP,2962,"55206  >  5000 [PSH, ACK] Seq=49338 Ack=1 Win=64512 Len=2896 TSval=1939598260 TSecr=3899494947",2896
47,0.200775,172.28.0.10,172.28.0.20,TCP,78,[TCP Dup ACK 39#3] 5000  >  55206 [ACK] Seq=1 Ack=40650 Win=94208 Len=0 TSval=3899494997 TSecr=1939598210 SLE=43546 SRE=52234,0
48,0.200777,172.28.0.20,172.28.0.10,TCP,2962,"55206  >  5000 [PSH, ACK] Seq=52234 Ack=1 Win=64512 Len=2896 TSval=1939598260 TSecr=3899494947",2896
49,0.200781,172.28.0.10,172.28.0.20,TCP,78,[TCP Dup ACK 39#4] 5000  >  55206 [ACK] Seq=1 Ack=40650 Win=94208 Len=0 TSval=3899494997 TSecr=1939598210 SLE=43546 SRE=55130,0
50,0.200825,172.28.0.20,172.28.0.10,TCP,2962,"55206  >  5000 [PSH, ACK] Seq=55130 Ack=1 Win=64512 Len=2896 TSval=1939598260 TSecr=3899494947",2896
51,0.200829,172.28.0.10,172.28.0.20,TCP,78,[TCP Dup ACK 39#5] 5000  >  55206 [ACK] Seq=1 Ack=40650 Win=94208 Len=0 TSval=3899494997 TSecr=1939598210 SLE=43546 SRE=58026,0
52,0.216368,172.28.0.20,172.28.0.10,TCP,1514,[TCP Fast Retransmission] 55206  >  5000 [ACK] Seq=40650 Ack=1 Win=64512 Len=1448 TSval=1939598276 TSecr=3899494947,1448
53,0.216401,172.28.0.10,172.28.0.20,TCP,78,5000  >  55206 [ACK] Seq=1 Ack=42098 Win=93184 Len=0 TSval=3899495013 TSecr=1939598276 SLE=43546 SRE=58026,0
54,0.216666,172.28.0.20,172.28.0.10,TCP,1514,[TCP Out-Of-Order] 55206  >  5000 [ACK] Seq=42098 Ack=1 Win=64512 Len=1448 TSval=1939598276 TSecr=3899494963,1448
55,0.216674,172.28.0.10,172.28.0.20,TCP,66,5000  >  55206 [ACK] Seq=1 Ack=58026 Win=84992 Len=0 TSval=3899495013 TSecr=1939598276,0
56,0.250873,172.28.0.20,172.28.0.10,TCP,1514,55206  >  5000 [ACK] Seq=58026 Ack=1 Win=64512 Len=1448 TSval=1939598310 TSecr=3899494997,1448
