"No.","Time","Source","Destination","Protocol","Length","Info"
"128","1.772952","172.28.0.10","172.28.0.20","TCP","66","5000  >  37376 [ACK] Seq=1 Ack=166626 Win=96256 Len=0 TSval=3899641302 TSecr=1939744487"
"129","1.844838","172.28.0.20","172.28.0.10","TCP","2962","37376  >  5000 [PSH, ACK] Seq=166626 Ack=1 Win=64512 Len=2896 TSval=1939744587 TSecr=3899641274"
"130","1.844883","172.28.0.10","172.28.0.20","TCP","66","5000  >  37376 [ACK] Seq=1 Ack=169522 Win=96256 Len=0 TSval=3899641374 TSecr=1939744587"
"131","1.873025","172.28.0.20","172.28.0.10","TCP","2962","37376  >  5000 [PSH, ACK] Seq=169522 Ack=1 Win=64512 Len=2896 TSval=1939744615 TSecr=3899641302"
"132","1.873061","172.28.0.10","172.28.0.20","TCP","66","5000  >  37376 [ACK] Seq=1 Ack=172418 Win=96256 Len=0 TSval=3899641402 TSecr=1939744615"
"133","1.873065","172.28.0.20","172.28.0.10","RSL","1514","ERROR REPORT "
"134","1.920538","172.28.0.10","172.28.0.20","TCP","66","5000  >  37376 [ACK] Seq=1 Ack=173866 Win=98304 Len=0 TSval=3899641450 TSecr=1939744615"
"135","1.944955","172.28.0.20","172.28.0.10","TCP","2962","37376  >  5000 [PSH, ACK] Seq=173866 Ack=1 Win=64512 Len=2896 TSval=1939744687 TSecr=3899641374"
"136","1.945006","172.28.0.10","172.28.0.20","TCP","66","5000  >  37376 [ACK] Seq=1 Ack=176762 Win=98304 Len=0 TSval=3899641474 TSecr=1939744687"
"137","1.973280","172.28.0.20","172.28.0.10","RSL","2962","DELETE INDication (CCCH) (SM) "
"138","1.973355","172.28.0.10","172.28.0.20","TCP","66","5000  >  37376 [ACK] Seq=1 Ack=179658 Win=98304 Len=0 TSval=3899641502 TSecr=1939744715"
"139","2.020603","172.28.0.20","172.28.0.10","TCP","1514","37376  >  5000 [ACK] Seq=179658 Ack=1 Win=64512 Len=1448 TSval=1939744763 TSecr=3899641450"
"140","2.045062","172.28.0.20","172.28.0.10","RSL","2962","PAGING Huawei extension "
"141","2.045124","172.28.0.10","172.28.0.20","TCP","66","5000  >  37376 [ACK] Seq=1 Ack=184002 Win=98304 Len=0 TSval=3899641574 TSecr=1939744763"
"142","2.145200","172.28.0.20","172.28.0.10","TCP","1514","[TCP Previous segment not captured] 37376  >  5000 [ACK] Seq=191242 Ack=1 Win=64512 Len=1448 TSval=1939744887 TSecr=3899641574"
"143","2.145232","172.28.0.10","172.28.0.20","TCP","78","[TCP Dup ACK 141#1] 5000  >  37376 [ACK] Seq=1 Ack=184002 Win=98304 Len=0 TSval=3899641674 TSecr=1939744763 SLE=191242 SRE=192690"
"144","2.245292","172.28.0.20","172.28.0.10","TCP","1514","[TCP Out-Of-Order] 37376  >  5000 [ACK] Seq=184002 Ack=1 Win=64512 Len=1448 TSval=1939744987 TSecr=3899641674"
"145","2.245328","172.28.0.10","172.28.0.20","TCP","78","5000  >  37376 [ACK] Seq=1 Ack=185450 Win=97280 Len=0 TSval=3899641774 TSecr=1939744987 SLE=191242 SRE=192690"
"146","2.272579","172.28.0.20","172.28.0.10","TCP","1514","[TCP Retransmission] 37376  >  5000 [ACK] Seq=186898 Ack=1 Win=64512 Len=1448 TSval=1939745015 TSecr=3899641674"
"147","2.272613","172.28.0.10","172.28.0.20","TCP","86","[TCP Dup ACK 145#1] 5000  >  37376 [ACK] Seq=1 Ack=185450 Win=97280 Len=0 TSval=3899641802 TSecr=1939744987 SLE=186898 SRE=188346 SLE=191242 SRE=192690"
"148","2.345495","172.28.0.20","172.28.0.10","TCP","2962","[TCP Retransmission] 37376  >  5000 [PSH, ACK] Seq=188346 Ack=1 Win=64512 Len=2896 TSval=1939745087 TSecr=3899641774"
